"year","region","site","sample","sampleID","taxonL","abundance"
2014,"choked","choked_inner","11","choked_inner_11","Ampithoidae",1
2014,"choked","choked_inner","11","choked_inner_11","Aoroides",39
2014,"choked","choked_inner","11","choked_inner_11","Caprella.californica",86
2014,"choked","choked_inner","11","choked_inner_11","Caprella.mutica",3
2014,"choked","choked_inner","11","choked_inner_11","Eogammarus.confervicolus",3
2014,"choked","choked_inner","11","choked_inner_11","Idoteidae",12
2014,"choked","choked_inner","11","choked_inner_11","Lacuna",19
2014,"choked","choked_inner","11","choked_inner_11","Minolia.peramabilis",1
2014,"choked","choked_inner","11","choked_inner_11","Monocorophium",3
2014,"choked","choked_inner","11","choked_inner_11","Mytilidae",4
2014,"choked","choked_inner","11","choked_inner_11","Paracerceis.cordata",1
2014,"choked","choked_inner","11","choked_inner_11","Photis",43
2014,"choked","choked_inner","11","choked_inner_11","Phyllaplysia.taylori",1
2014,"choked","choked_inner","11","choked_inner_11","Platynereis",1
2014,"choked","choked_inner","11","choked_inner_11","Pontogeneia.rostrata",17
2014,"choked","choked_inner","11","choked_inner_11","Tegula.funebralis",20
2014,"choked","choked_inner","11B","choked_inner_11B","Ampithoidae",3
2014,"choked","choked_inner","11B","choked_inner_11B","Aoroides",98
2014,"choked","choked_inner","11B","choked_inner_11B","Caprella.californica",330
2014,"choked","choked_inner","11B","choked_inner_11B","Caprella.mutica",5
2014,"choked","choked_inner","11B","choked_inner_11B","Eogammarus.confervicolus",2
2014,"choked","choked_inner","11B","choked_inner_11B","Exogone",4
2014,"choked","choked_inner","11B","choked_inner_11B","Harpacticoida",30
2014,"choked","choked_inner","11B","choked_inner_11B","Idoteidae",9
2014,"choked","choked_inner","11B","choked_inner_11B","Lacuna",182
2014,"choked","choked_inner","11B","choked_inner_11B","Mytilidae",34
2014,"choked","choked_inner","11B","choked_inner_11B","Paracerceis.cordata",66
2014,"choked","choked_inner","11B","choked_inner_11B","Photis",407
2014,"choked","choked_inner","11B","choked_inner_11B","Pontogeneia.rostrata",101
2014,"choked","choked_inner","4","choked_inner_4","Ampithoidae",2
2014,"choked","choked_inner","4","choked_inner_4","Aoroides",200
2014,"choked","choked_inner","4","choked_inner_4","Caprella.californica",41
2014,"choked","choked_inner","4","choked_inner_4","Caprella.mutica",7
2014,"choked","choked_inner","4","choked_inner_4","Idoteidae",40
2014,"choked","choked_inner","4","choked_inner_4","Lacuna",55
2014,"choked","choked_inner","4","choked_inner_4","Monocorophium",2
2014,"choked","choked_inner","4","choked_inner_4","Paracerceis.cordata",6
2014,"choked","choked_inner","4","choked_inner_4","Photis",27
2014,"choked","choked_inner","4","choked_inner_4","Pontogeneia.rostrata",5
2014,"choked","choked_inner","4","choked_inner_4","Pugettia",2
2014,"choked","choked_inner","4","choked_inner_4","Tegula.funebralis",1
2014,"choked","choked_inner","4A","choked_inner_4A","Ampithoidae",1
2014,"choked","choked_inner","4A","choked_inner_4A","Aoroides",24
2014,"choked","choked_inner","4A","choked_inner_4A","Caprella.californica",99
2014,"choked","choked_inner","4A","choked_inner_4A","Caprella.laeviuscula",1
2014,"choked","choked_inner","4A","choked_inner_4A","Caprella.mutica",4
2014,"choked","choked_inner","4A","choked_inner_4A","Eogammarus.confervicolus",1
2014,"choked","choked_inner","4A","choked_inner_4A","Exogone",1
2014,"choked","choked_inner","4A","choked_inner_4A","Idoteidae",10
2014,"choked","choked_inner","4A","choked_inner_4A","Lacuna",25
2014,"choked","choked_inner","4A","choked_inner_4A","Phyllaplysia.taylori",1
2014,"choked","choked_inner","4A","choked_inner_4A","Platynereis",13
2014,"choked","choked_inner","6","choked_inner_6","Aoroides",46
2014,"choked","choked_inner","6","choked_inner_6","Caprella.californica",57
2014,"choked","choked_inner","6","choked_inner_6","Caprella.mutica",3
2014,"choked","choked_inner","6","choked_inner_6","Eogammarus.confervicolus",5
2014,"choked","choked_inner","6","choked_inner_6","Idoteidae",11
2014,"choked","choked_inner","6","choked_inner_6","Lacuna",154
2014,"choked","choked_inner","6","choked_inner_6","Monocorophium",3
2014,"choked","choked_inner","6","choked_inner_6","Mytilidae",3
2014,"choked","choked_inner","6","choked_inner_6","Photis",156
2014,"choked","choked_inner","6","choked_inner_6","Phyllaplysia.taylori",1
2014,"choked","choked_inner","6","choked_inner_6","Platynereis",4
2014,"choked","choked_inner","6","choked_inner_6","Pontogeneia.rostrata",22
2014,"choked","choked_inner","6A","choked_inner_6A","Aoroides",16
2014,"choked","choked_inner","6A","choked_inner_6A","Caprella.californica",41
2014,"choked","choked_inner","6A","choked_inner_6A","Caprella.mutica",13
2014,"choked","choked_inner","6A","choked_inner_6A","Eogammarus.confervicolus",1
2014,"choked","choked_inner","6A","choked_inner_6A","Idoteidae",40
2014,"choked","choked_inner","6A","choked_inner_6A","Lacuna",56
2014,"choked","choked_inner","6A","choked_inner_6A","Photis",2
2014,"choked","choked_inner","6A","choked_inner_6A","Pontogeneia.rostrata",4
2014,"choked","choked_inner","6A","choked_inner_6A","Pugettia",1
2014,"choked","choked_inner","8","choked_inner_8","Ampithoidae",1
2014,"choked","choked_inner","8","choked_inner_8","Aoroides",244
2014,"choked","choked_inner","8","choked_inner_8","Calliostoma",1
2014,"choked","choked_inner","8","choked_inner_8","Caprella.californica",321
2014,"choked","choked_inner","8","choked_inner_8","Caprella.mutica",10
2014,"choked","choked_inner","8","choked_inner_8","Eogammarus.confervicolus",11
2014,"choked","choked_inner","8","choked_inner_8","Idoteidae",96
2014,"choked","choked_inner","8","choked_inner_8","Lacuna",350
2014,"choked","choked_inner","8","choked_inner_8","Monocorophium",27
2014,"choked","choked_inner","8","choked_inner_8","Mytilidae",9
2014,"choked","choked_inner","8","choked_inner_8","Photis",344
2014,"choked","choked_inner","8","choked_inner_8","Phyllaplysia.taylori",2
2014,"choked","choked_inner","8","choked_inner_8","Platynereis",6
2014,"choked","choked_inner","8","choked_inner_8","Pontogeneia.rostrata",62
2014,"choked","choked_inner","8","choked_inner_8","Tegula.funebralis",4
2014,"choked","choked_sandspit","1","choked_sandspit_1","Ampithoidae",1
2014,"choked","choked_sandspit","1","choked_sandspit_1","Caprella.californica",7
2014,"choked","choked_sandspit","1","choked_sandspit_1","Colus",1
2014,"choked","choked_sandspit","1","choked_sandspit_1","Eogammarus.confervicolus",1
