Date,Year,Month,WaterYear,TWtrPruth_bay01_Q_level,TWtrPruth_bay01_Q_flags,TWtrPruth_bay01_UNESCO_Q_level,TWtrPruth_bay01,TWtrPruth_bay01_Med,TWtrPruth_bay01_Avg,TWtrPruth_bay01_Min,TWtrPruth_bay01_Max
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,deg C,deg C,deg C,deg C,deg C
date,Year,Month,WaterYear,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01,NS_Pruth_bay01
date,year,month,waterYear,WaterTemp_QL,WaterTemp_QC,WaterTemp_UQL,WaterTemp,WaterTemp_Med,WaterTemp_Avg,WaterTemp_Min,WaterTemp_Max
2015-10-07,2015,Oct,2015-2016,1,,2,11.662,11.649625,11.6620399305556,11.467,11.929
2015-10-08,2015,Oct,2015-2016,1,,2,11.467,11.522125,11.5321510416667,11.394,11.71
2015-10-09,2015,Oct,2015-2016,1,,2,11.273,11.419,11.4066701388889,11.248,11.54
2015-10-10,2015,Oct,2015-2016,1,,2,11.224,11.248,11.2457864583333,10.907,11.565
2015-10-11,2015,Oct,2015-2016,1,,2,11.37,11.352,11.31346875,11.151,11.443
2015-10-12,2015,Oct,2015-2016,1,,2,10.932,11.151,11.16196875,10.785,11.443
2015-10-13,2015,Oct,2015-2016,1,,2,11.224,11.151,11.1784236111111,10.956,11.516
2015-10-14,2015,Oct,2015-2016,1,,2,11.321,11.245,11.2692690972222,11.102,11.492
2015-10-15,2015,Oct,2015-2016,1,,2,11.321,11.321,11.3029930555556,11.053,11.516
2015-10-16,2015,Oct,2015-2016,1,,2,11.273,11.297,11.2922013888889,11.175,11.394
2015-10-17,2015,Oct,2015-2016,1,,2,11.2,11.215,11.2093836805556,11.151,11.321
2015-10-18,2015,Oct,2015-2016,1,,2,11.175,11.196875,11.1959947916667,11.175,11.248
2015-10-19,2015,Oct,2015-2016,1,,2,11.2,11.175,11.1737135416667,11.127,11.224
2015-10-20,2015,Oct,2015-2016,1,,2,11.175,11.142,11.1485225694444,11.078,11.273
2015-10-21,2015,Oct,2015-2016,1,,2,11.151,11.151,11.1596875,11.127,11.224
2015-10-22,2015,Oct,2015-2016,1,,2,11.175,11.175,11.1843125,11.102,11.273
2015-10-23,2015,Oct,2015-2016,1,,2,11.321,11.291,11.2979201388889,11.175,11.54
2015-10-24,2015,Oct,2015-2016,1,,2,11.394,11.415625,11.4325607638889,11.321,11.662
2015-10-25,2015,Oct,2015-2016,1,,2,11.005,11.154,11.1618350694444,10.932,11.613
2015-10-26,2015,Oct,2015-2016,1,,2,11.053,10.855,10.913625,10.761,11.297
2015-10-27,2015,Oct,2015-2016,1,,2,11.346,11.087125,11.1064774305556,10.785,11.394
2015-10-28,2015,Oct,2015-2016,1,,2,10.81,11.123625,11.0700347222222,10.687,11.419
2015-10-29,2015,Oct,2015-2016,1,,2,11.297,11.236125,11.2146336805556,10.8465,11.321
2015-10-30,2015,Oct,2015-2016,1,,2,11.37,11.321,11.3084496527778,11.005,11.37
2015-10-31,2015,Oct,2015-2016,1,,2,11.394,11.37,11.3511805555556,11.102,11.419
2015-11-01,2015,Nov,2015-2016,1,,2,11.346,11.394,11.3735972222222,11.175,11.467
2015-11-02,2015,Nov,2015-2016,1,,2,11.273,11.419,11.403953125,11.224,11.467
2015-11-03,2015,Nov,2015-2016,1,,2,11.053,11.309,11.293375,10.956,11.419
2015-11-04,2015,Nov,2015-2016,1,,2,11.175,11.282,11.2522604166667,10.858,11.443
2015-11-05,2015,Nov,2015-2016,1,,2,11.078,11.215,11.205765625,11.053,11.297
2015-11-06,2015,Nov,2015-2016,1,,2,11.151,11.078,11.064046875,10.81,11.2
2015-11-07,2015,Nov,2015-2016,1,,2,11.102,11.175,11.1821475694444,10.98,11.273
2015-11-08,2015,Nov,2015-2016,1,,2,10.98,11.224,11.1414409722222,10.883,11.248
2015-11-09,2015,Nov,2015-2016,1,,2,10.394,10.507,10.5538784722222,10.026,11.053
2015-11-10,2015,Nov,2015-2016,1,,2,10.712,10.625875,10.4615659722222,9.756,10.98
2015-11-11,2015,Nov,2015-2016,1,,2,10.736,10.779125,10.7595902777778,10.271,10.956
2015-11-12,2015,Nov,2015-2016,1,,2,10.956,10.75475,10.6469861111111,10.296,10.956
2015-11-13,2015,Nov,2015-2016,1,,2,10.858,10.907,10.8921145833333,10.785,11.005
2015-11-14,2015,Nov,2015-2016,1,,2,10.198,10.785125,10.5992152777778,10.124,10.98
2015-11-15,2015,Nov,2015-2016,1,,2,9.854,10.507125,10.4452013888889,9.608,10.956
2015-11-16,2015,Nov,2015-2016,1,,2,10.198,9.6355,9.68965277777778,9.46,10.198
2015-11-17,2015,Nov,2015-2016,1,,2,10.565,10.394,10.329953125,9.731,10.59
2015-11-18,2015,Nov,2015-2016,1,,2,9.188,9.777125,9.95184201388889,9.188,10.565
2015-11-19,2015,Nov,2015-2016,1,,2,9.336,9.549,9.58709722222222,9.163,10.1
2015-11-20,2015,Nov,2015-2016,1,,2,9.262,9.382625,9.40707986111111,9.163,9.608
2015-11-21,2015,Nov,2015-2016,1,,2,9.015,9.12025,9.15317881944444,8.792,9.608
2015-11-22,2015,Nov,2015-2016,1,,2,8.99,8.313,8.49399479166667,8.095,9.163
2015-11-23,2015,Nov,2015-2016,1,,2,7.419,8.478,8.31315798611111,7.419,9.312
2015-11-24,2015,Nov,2015-2016,1,,2,9.509,8.701875,8.24713541666667,6.889,9.805
2015-11-25,2015,Nov,2015-2016,1,,2,9.114,9.45375,9.29817881944445,8.494,9.829
2015-11-26,2015,Nov,2015-2016,1,,2,8.891,9.12,9.12130381944445,8.519,9.608
2015-11-27,2015,Nov,2015-2016,1,,2,9.238,9.058125,9.07473090277778,8.369,9.46
2015-11-28,2015,Nov,2015-2016,1,,2,9.262,8.891,8.87927777777778,8.145,9.435
2015-11-29,2015,Nov,2015-2016,1,,2,8.344,8.366,8.48057291666667,7.318,9.312
2015-11-30,2015,Nov,2015-2016,1,,2,7.67,8.1665,8.09117013888889,7.041,9.336
2015-12-01,2015,Dec,2015-2016,1,,2,8.494,8.484625,8.49548611111111,7.72,9.015
2015-12-02,2015,Dec,2015-2016,1,,2,8.419,8.534125,8.61383854166667,8.369,8.891
2015-12-03,2015,Dec,2015-2016,1,,2,8.891,8.478375,8.61535416666666,8.319,9.064
2015-12-04,2015,Dec,2015-2016,1,,2,8.543,8.916,8.94347916666667,8.543,9.435
2015-12-05,2015,Dec,2015-2016,1,,2,8.817,8.580625,8.65216319444445,8.369,9.336
2015-12-06,2015,Dec,2015-2016,1,,2,9.361,9.005625,9.01342361111111,8.693,9.41
2015-12-07,2015,Dec,2015-2016,1,,2,9.262,9.22525,9.20933159722222,9.015,9.509
2015-12-08,2015,Dec,2015-2016,1,,2,9.287,9.166125,9.16202604166667,8.817,9.435
2015-12-09,2015,Dec,2015-2016,1,,2,9.361,9.327,9.33620486111111,9.163,9.485
2015-12-10,2015,Dec,2015-2016,1,,2,9.262,9.259,9.17544270833333,8.344,9.3485
2015-12-11,2015,Dec,2015-2016,1,,2,8.817,8.757625,8.821890625,8.519,9.262
2015-12-12,2015,Dec,2015-2016,1,,2,8.543,8.770125,8.70741319444445,7.995,9.188
2015-12-13,2015,Dec,2015-2016,1,,2,8.866,8.686625,8.71441145833333,8.369,9.139
2015-12-14,2015,Dec,2015-2016,1,,2,8.444,8.372125,8.48170486111111,8.02,9.015
2015-12-15,2015,Dec,2015-2016,1,,2,8.767,8.695875,8.65722395833333,7.795,9.238
2015-12-16,2015,Dec,2015-2016,1,,2,8.344,8.484375,8.62758854166667,7.87,9.213
2015-12-17,2015,Dec,2015-2016,1,,2,8.543,8.51275,8.52524479166667,7.895,9.015
2015-12-18,2015,Dec,2015-2016,1,,2,8.419,8.469,8.48605555555556,8.27,8.792
2015-12-19,2015,Dec,2015-2016,1,,2,7.995,8.160625,8.19240972222222,7.995,8.444
2015-12-20,2015,Dec,2015-2016,1,,2,8.543,8.412875,8.39460416666667,7.97,8.99
2015-12-21,2015,Dec,2015-2016,1,,2,8.817,8.738875,8.67457291666667,7.945,9.163
2015-12-22,2015,Dec,2015-2016,1,,2,8.295,8.279375,8.37892708333333,7.77,8.965
2015-12-23,2015,Dec,2015-2016,1,,2,8.245,8.2825,8.27663541666667,8.07,8.519
2015-12-24,2015,Dec,2015-2016,1,,2,7.795,7.785625,7.88250347222222,7.594,8.494
2015-12-25,2015,Dec,2015-2016,1,,2,7.87,7.7325,7.80911979166667,7.544,8.469
2015-12-26,2015,Dec,2015-2016,1,,2,7.569,7.879375,7.90252256944444,7.268,8.618
2015-12-27,2015,Dec,2015-2016,1,,2,8.593,8.310375,8.13674305555556,7.368,8.593
2015-12-28,2015,Dec,2015-2016,1,,2,7.92,8.4565,8.42261284722222,7.494,8.593
2015-12-29,2015,Dec,2015-2016,1,,2,8.07,8.145,8.12617013888889,7.77,8.394
2015-12-30,2015,Dec,2015-2016,1,,2,7.97,8.060625,8.10557638888889,7.77,8.419
2015-12-31,2015,Dec,2015-2016,1,,2,7.945,7.93875,7.94556423611111,7.645,8.22
2016-01-01,2016,Jan,2015-2016,1,,2,7.845,7.935625,7.88328472222222,7.368,8.045
2016-01-02,2016,Jan,2015-2016,1,,2,7.217,7.660375,7.61607638888889,6.914,7.97
2016-01-03,2016,Jan,2015-2016,1,,2,6.712,6.898375,6.99909895833334,6.687,7.544
2016-01-04,2016,Jan,2015-2016,1,,2,6.56,6.6135,6.59895833333333,6.026,6.965
2016-01-05,2016,Jan,2015-2016,1,,2,6.179,6.3155,6.54600868055556,5.872,7.645
2016-01-06,2016,Jan,2015-2016,1,,2,6.179,6.271375,6.29988194444444,5.924,6.737
2016-01-07,2016,Jan,2015-2016,1,,2,7.041,6.907875,6.86532291666667,6.077,7.87
2016-01-08,2016,Jan,2015-2016,1,,2,7.343,7.261125,7.22653819444444,6.509,7.82
2016-01-09,2016,Jan,2015-2016,1,,2,7.745,7.65125,7.52542708333333,6.864,7.795
2016-01-10,2016,Jan,2015-2016,1,,2,7.569,7.619,7.58538194444444,7.368,7.72
2016-01-11,2016,Jan,2015-2016,1,,2,7.469,7.469,7.49581944444444,7.217,7.67
2016-01-12,2016,Jan,2015-2016,1,,2,7.419,7.41575,7.41650347222222,7.242,7.645
2016-01-13,2016,Jan,2015-2016,1,,2,7.368,7.4565,7.54665798611111,7.318,7.945
2016-01-14,2016,Jan,2015-2016,1,,2,7.77,7.371125,7.43237152777778,7.242,7.87
2016-01-15,2016,Jan,2015-2016,1,,2,7.544,7.648125,7.60226041666667,7.318,7.895
2016-01-16,2016,Jan,2015-2016,1,,2,7.419,7.469,7.49193229166667,7.318,7.745
2016-01-17,2016,Jan,2015-2016,1,,2,7.569,7.5315,7.52169097222222,7.318,7.895
2016-01-18,2016,Jan,2015-2016,1,,2,7.72,7.6575,7.66427951388889,7.544,7.97
2016-01-19,2016,Jan,2015-2016,1,,2,7.77,7.795,7.80474652777778,7.594,8.045
2016-01-20,2016,Jan,2015-2016,1,,2,7.92,7.923125,7.93744791666667,7.72,8.17
2016-01-21,2016,Jan,2015-2016,1,,2,8.07,7.9325,7.96817708333333,7.77,8.195
2016-01-22,2016,Jan,2015-2016,1,,2,8.195,8.195,8.16978298611111,8.02,8.245
2016-01-23,2016,Jan,2015-2016,1,,2,8.07,8.145,8.14400173611111,8.07,8.195
2016-01-24,2016,Jan,2015-2016,1,,2,7.97,7.998125,7.99083333333333,7.845,8.095
2016-01-25,2016,Jan,2015-2016,1,,2,8.02,7.995,7.98814236111111,7.895,8.07
2016-01-26,2016,Jan,2015-2016,1,,2,8.095,8.073125,8.06483506944444,7.97,8.145
2016-01-27,2016,Jan,2015-2016,1,,2,8.17,8.095,8.10684895833333,8.07,8.195
2016-01-28,2016,Jan,2015-2016,1,,2,8.17,8.135625,8.13458333333333,8.095,8.245
2016-01-29,2016,Jan,2015-2016,1,,2,8.07,8.095,8.09604166666666,7.995,8.195
2016-01-30,2016,Jan,2015-2016,1,,2,8.195,8.16375,8.14096354166667,7.895,8.22
2016-01-31,2016,Jan,2015-2016,1,,2,8.22,8.22,8.21040798611111,8.17,8.22
2016-02-01,2016,Feb,2015-2016,1,,2,8.22,8.22,8.2153125,8.17,8.22
2016-02-02,2016,Feb,2015-2016,1,,2,8.17,8.2075,8.16748263888889,7.795,8.245
2016-02-03,2016,Feb,2015-2016,1,,2,7.92,7.916875,7.93223958333333,7.77,8.17
2016-02-04,2016,Feb,2015-2016,1,,2,7.97,8.02625,8.01401041666666,7.92,8.095
2016-02-05,2016,Feb,2015-2016,1,,2,7.795,7.8575,7.86231770833333,7.745,7.97
2016-02-06,2016,Feb,2015-2016,1,,2,7.945,7.97,7.96817708333333,7.795,8.045
2016-02-07,2016,Feb,2015-2016,1,,2,7.87,7.879375,7.88228298611111,7.795,7.97
2016-02-08,2016,Feb,2015-2016,1,,2,8.02,8.02,8.00359375,7.845,8.12
2016-02-09,2016,Feb,2015-2016,1,,2,7.995,8.02,8.023515625,7.995,8.07
2016-02-10,2016,Feb,2015-2016,1,,2,7.945,7.92,7.93276041666666,7.87,7.995
2016-02-11,2016,Feb,2015-2016,1,,2,7.87,7.87,7.88419270833333,7.845,7.945
2016-02-12,2016,Feb,2015-2016,1,,2,7.92,7.910625,7.90359375,7.845,7.97
2016-02-13,2016,Feb,2015-2016,1,,2,7.92,7.92,7.93336805555556,7.895,8.02
2016-02-14,2016,Feb,2015-2016,1,,2,8.02,7.97,7.97121527777778,7.895,8.045
2016-02-15,2016,Feb,2015-2016,1,,2,8.02,8.02,8.02451388888889,7.97,8.07
2016-02-16,2016,Feb,2015-2016,1,,2,8.02,8.07,8.07034722222222,8.02,8.17
2016-02-17,2016,Feb,2015-2016,1,,2,8.095,8.095,8.09174479166666,8.02,8.17
2016-02-18,2016,Feb,2015-2016,1,,2,8.095,8.095,8.07,7.87,8.17
2016-02-19,2016,Feb,2015-2016,1,,2,8.095,8.07,8.054375,7.92,8.12
2016-02-20,2016,Feb,2015-2016,1,,2,8.12,8.12,8.11665798611111,8.045,8.195
2016-02-21,2016,Feb,2015-2016,1,,2,8.07,8.195,8.18743402777778,8.045,8.344
2016-02-22,2016,Feb,2015-2016,1,,2,8.369,8.304,8.305078125,8.07,8.444
2016-02-23,2016,Feb,2015-2016,1,,2,8.045,8.191875,8.18880555555556,7.945,8.3565
2016-02-24,2016,Feb,2015-2016,1,,2,8.045,8.045,8.03388888888889,7.845,8.295
2016-02-25,2016,Feb,2015-2016,1,,2,8.07,8.07,8.08124131944444,8.045,8.195
2016-02-26,2016,Feb,2015-2016,1,,2,8.27,8.229375,8.2609375,8.07,8.568
2016-02-27,2016,Feb,2015-2016,1,,2,8.469,8.525,8.50083506944445,8.245,8.643
2016-02-28,2016,Feb,2015-2016,1,,2,8.668,8.558625,8.57567534722222,8.469,8.693
2016-02-29,2016,Feb,2015-2016,1,,2,8.742,8.711,8.70762152777778,8.668,8.792
2016-03-01,2016,Mar,2015-2016,1,,2,8.717,8.751375,8.75282118055555,8.693,8.792
2016-03-02,2016,Mar,2015-2016,1,,2,8.369,8.295,8.39729861111111,8.22,8.767
2016-03-03,2016,Mar,2015-2016,1,,2,8.27,8.291875,8.28556076388889,8.245,8.369
2016-03-04,2016,Mar,2015-2016,1,,2,8.519,8.295,8.39888715277778,8.27,8.792
2016-03-05,2016,Mar,2015-2016,1,,2,8.742,8.66175,8.66106423611111,8.494,8.792
2016-03-06,2016,Mar,2015-2016,1,,2,8.668,8.717125,8.70055902777778,8.543,8.767
2016-03-07,2016,Mar,2015-2016,1,,2,8.792,8.767,8.7531875,8.668,8.792
2016-03-08,2016,Mar,2015-2016,1,,2,8.817,8.792,8.79024131944444,8.643,8.841
2016-03-09,2016,Mar,2015-2016,1,,2,8.817,8.817,8.81445833333333,8.693,8.841
2016-03-10,2016,Mar,2015-2016,1,,2,8.817,8.817,8.81928472222222,8.767,8.841
2016-03-11,2016,Mar,2015-2016,1,,2,8.693,8.817,8.6705,8.12,8.817
2016-03-12,2016,Mar,2015-2016,1,,2,8.618,8.696,8.656546875,8.22,8.792
2016-03-13,2016,Mar,2015-2016,1,,2,8.767,8.693,8.69246354166667,8.568,8.767
2016-03-14,2016,Mar,2015-2016,1,,2,8.767,8.7295,8.71388888888889,8.593,8.817
2016-03-15,2016,Mar,2015-2016,1,,2,8.792,8.767,8.78016493055556,8.668,8.817
2016-03-16,2016,Mar,2015-2016,1,,2,8.792,8.792,8.785375,8.717,8.841
2016-03-17,2016,Mar,2015-2016,1,,2,8.742,8.742,8.67746180555556,8.444,8.817
2016-03-18,2016,Mar,2015-2016,1,,2,8.494,8.47525,8.50311111111111,8.394,8.767
2016-03-19,2016,Mar,2015-2016,1,,2,8.693,8.618,8.613015625,8.494,8.717
2016-03-20,2016,Mar,2015-2016,1,,2,8.693,8.693,8.68120833333333,8.618,8.792
2016-03-21,2016,Mar,2015-2016,1,,2,8.717,8.717,8.71714583333334,8.668,8.767
2016-03-22,2016,Mar,2015-2016,1,,2,8.742,8.742,8.73431770833334,8.717,8.767
2016-03-23,2016,Mar,2015-2016,1,,2,8.693,8.717,8.71029340277778,8.643,8.767
2016-03-24,2016,Mar,2015-2016,1,,2,8.742,8.742,8.72713020833333,8.668,8.742
2016-03-25,2016,Mar,2015-2016,1,,2,8.767,8.767,8.75447743055555,8.568,8.792
2016-03-26,2016,Mar,2015-2016,1,,2,8.767,8.767,8.77446527777778,8.717,8.817
2016-03-27,2016,Mar,2015-2016,1,,2,8.792,8.801375,8.80533854166667,8.767,8.866
2016-03-28,2016,Mar,2015-2016,1,,2,8.941,8.844125,8.85926909722222,8.792,9.015
2016-03-29,2016,Mar,2015-2016,1,,2,9.41,9.046,9.09235243055555,8.941,9.435
2016-03-30,2016,Mar,2015-2016,1,,2,8.965,9.064625,9.11821006944444,8.866,9.485
2016-03-31,2016,Mar,2015-2016,1,,2,9.04,8.993125,9.04579340277778,8.866,9.854
2016-04-01,2016,Apr,2015-2016,1,,2,9.262,9.0025,9.06896875,8.841,9.509
2016-04-02,2016,Apr,2015-2016,1,,2,9.064,9.19125,9.27703819444444,8.941,9.928
2016-04-03,2016,Apr,2015-2016,1,,2,8.99,9.09225,9.16379513888889,8.965,9.682
2016-04-04,2016,Apr,2015-2016,1,,2,9.139,9.073375,9.12789409722222,8.941,9.509
2016-04-05,2016,Apr,2015-2016,1,,2,9.188,9.222375,9.19259548611111,9.015,9.336
2016-04-06,2016,Apr,2015-2016,1,,2,9.04,9.154,9.16271527777778,9.04,9.312
2016-04-07,2016,Apr,2015-2016,1,,2,9.015,9.089,9.09891840277778,9.015,9.336
2016-04-08,2016,Apr,2015-2016,1,,2,9.287,9.070375,9.099125,8.99,9.632
2016-04-09,2016,Apr,2015-2016,1,,2,9.386,9.277625,9.32418923611111,9.089,10.271
2016-04-10,2016,Apr,2015-2016,1,,2,9.682,9.388625,9.44964583333333,9.114,9.879
2016-04-11,2016,Apr,2015-2016,1,,2,9.509,9.274625,9.356453125,9.139,9.78
2016-04-12,2016,Apr,2015-2016,1,,2,9.213,9.41,9.39596527777778,9.139,9.583
2016-04-13,2016,Apr,2015-2016,1,,2,9.163,9.26825,9.27321180555555,9.139,9.46
2016-04-14,2016,Apr,2015-2016,1,,2,9.238,9.21925,9.23502256944444,9.163,9.485
2016-04-15,2016,Apr,2015-2016,1,,2,9.41,9.21925,9.26441666666667,9.163,9.485
2016-04-16,2016,Apr,2015-2016,1,,2,9.361,9.404,9.37668923611111,9.262,9.46
2016-04-17,2016,Apr,2015-2016,1,,2,9.386,9.386,9.40637326388889,9.238,10.075
2016-04-18,2016,Apr,2015-2016,1,,2,9.534,9.435,9.57695833333334,9.262,11.102
2016-04-19,2016,Apr,2015-2016,1,,2,9.78,10.32925,10.2003993055556,9.485,11.637
2016-04-20,2016,Apr,2015-2016,1,,2,10.001,10.259,10.2957065972222,9.632,11.613
2016-04-21,2016,Apr,2015-2016,1,,2,10.124,10.176375,10.2662378472222,9.706,11.297
2016-04-22,2016,Apr,2015-2016,1,,2,9.854,10.05375,10.1421909722222,9.706,10.858
2016-04-23,2016,Apr,2015-2016,1,,2,9.657,9.857125,9.89210590277778,9.509,11.053
2016-04-24,2016,Apr,2015-2016,1,,2,9.731,9.817,9.88208680555555,9.657,10.638
2016-04-25,2016,Apr,2015-2016,1,,2,10.001,9.767875,9.87495486111111,9.534,10.443
2016-04-26,2016,Apr,2015-2016,1,,2,9.731,9.786375,9.81880208333333,9.583,10.394
2016-04-27,2016,Apr,2015-2016,1,,2,9.731,9.768,9.7906875,9.558,10.271
2016-04-28,2016,Apr,2015-2016,1,,2,10.198,9.7435,9.82838368055556,9.583,10.394
2016-04-29,2016,Apr,2015-2016,1,,2,10.32,9.759,9.81410069444444,9.509,10.394
2016-04-30,2016,Apr,2015-2016,1,,2,9.879,10.029,10.111015625,9.583,11.102
2016-05-01,2016,May,2015-2016,1,,2,10.345,10.179625,10.3279131944444,9.805,11.54
2016-05-02,2016,May,2015-2016,1,,2,11.589,10.726875,10.8289722222222,10.296,11.953
2016-05-03,2016,May,2015-2016,1,,2,10.247,10.29275,10.4071354166667,9.682,11.613
2016-05-04,2016,May,2015-2016,1,,2,10.051,10.286375,10.4340069444444,9.756,12.799
2016-05-05,2016,May,2015-2016,1,,2,9.952,10.25275,10.3271302083333,9.78,11.637
2016-05-06,2016,May,2015-2016,1,,2,9.608,9.906,10.0041736111111,9.509,11.516
2016-05-07,2016,May,2015-2016,1,,2,9.731,9.774,9.84278645833333,9.41,11.127
2016-05-08,2016,May,2015-2016,1,,2,9.509,9.657,9.74607291666667,9.336,10.565
2016-05-09,2016,May,2015-2016,1,,2,10.222,9.771,9.840234375,9.435,10.687
2016-05-10,2016,May,2015-2016,1,,2,9.756,9.66025,9.74817708333333,9.262,10.932
2016-05-11,2016,May,2015-2016,1,,2,9.312,9.601625,9.62705555555556,9.213,10.59
2016-05-12,2016,May,2015-2016,1,,2,11.904,9.780375,9.80429166666667,9.262,11.904
2016-05-13,2016,May,2015-2016,1,,2,11.929,11.9285,11.8811579861111,10.785,13.016
2016-05-14,2016,May,2015-2016,1,,2,11.37,11.856,11.6939010416667,10.1,12.243
2016-05-15,2016,May,2015-2016,1,,2,10.687,11.431,11.3004565972222,10.492,11.783
2016-05-16,2016,May,2015-2016,1,,2,10.663,10.62,10.6417569444444,10.247,11.151
2016-05-17,2016,May,2015-2016,1,,2,10.394,10.424375,10.4721545138889,10.173,11.297
2016-05-18,2016,May,2015-2016,1,,2,10.492,10.387625,10.3724965277778,10.149,10.761
2016-05-19,2016,May,2015-2016,1,,2,10.418,10.394,10.4232881944444,10.198,10.736
2016-05-20,2016,May,2015-2016,1,,2,11.856,11.2635,11.10540625,10.198,12.171
2016-05-21,2016,May,2015-2016,1,,2,11.904,11.913375,11.9761875,11.856,13.257
2016-05-22,2016,May,2015-2016,1,,2,11.71,11.959,12.0282673611111,11.273,12.871
2016-05-23,2016,May,2015-2016,1,,2,10.443,10.9285,11.0661927083333,10.198,12.606
2016-05-24,2016,May,2015-2016,1,,2,10.149,10.243875,10.2607395833333,9.731,10.858
2016-05-25,2016,May,2015-2016,1,,2,9.632,10.05075,10.1615295138889,9.534,11.37
2016-05-26,2016,May,2015-2016,1,,2,9.657,10.013875,10.1199982638889,9.46,11.516
2016-05-27,2016,May,2015-2016,1,,2,9.41,9.872625,9.90774131944444,9.41,10.834
2016-05-28,2016,May,2015-2016,1,,2,9.706,9.721875,9.82868055555556,9.336,11.2
2016-05-29,2016,May,2015-2016,1,,2,10.124,9.7955,9.83165625,9.46,10.687
2016-05-30,2016,May,2015-2016,1,,2,10.492,10.198,10.3656805555556,9.657,11.783
2016-05-31,2016,May,2015-2016,1,,2,10.614,10.446,10.5176493055556,9.805,11.565
2016-06-01,2016,Jun,2015-2016,1,,2,10.638,10.8735,10.9738958333333,10.124,11.807
2016-06-02,2016,Jun,2015-2016,1,,2,10.712,10.6935,10.76696875,10.149,11.662
2016-06-03,2016,Jun,2015-2016,1,,2,10.296,10.815875,10.7417847222222,10.247,11.273
2016-06-04,2016,Jun,2015-2016,1,,2,10.345,10.49475,10.5453802083333,10.222,10.883
2016-06-05,2016,Jun,2015-2016,1,,2,11.224,10.41225,10.5747517361111,10.247,12.606
2016-06-06,2016,Jun,2015-2016,1,,2,11.565,11.145125,11.3367065972222,10.565,13.834
2016-06-07,2016,Jun,2015-2016,1,,2,11.613,11.0775,11.1475694444444,10.222,13.185
2016-06-08,2016,Jun,2015-2016,1,,2,11.71,11.135625,11.2078315972222,10.173,12.654
2016-06-09,2016,Jun,2015-2016,1,,2,10.443,10.87675,11.0622065972222,10.443,12.727
